track,artist,release_date,repeated
Secret Garden,Bruce Springsteen,1995-02-27,1
سرود آزادی,Ethnic Musicians,2022-10-31,1
Send A Raven North,Una Luna,2017-01-01,1
"Serenade, D. 957, No. 4",Franz Schubert,1961,1
AZHIR,Hiphopologist,2021-11-25,1
Sicilienne (Arr. by Söllscher),Maria Theresia von Paradis,2007-01-01,1
Sanctum Sonar,Jasmin Lambert,2022-12-09,1
Solas,Jamie Duffy,2022-02-04,1
Somewhere in Between,Jacob LaVallee,2020-01-08,1
"Siciliano (After ""Erbarme dich"" from Matthäus-Passion, BWV 244, No. 39)",Johann Sebastian Bach,2021-04-09,1
"Waltz No. 19 in A minor, Op. posth.",Frédéric Chopin,2023-03-16,1
saman,Ólafur Arnalds,2018-08-24,1
Staircase Sonata,Gabríel Ólafs,2019-08-30,1
my dream last night,CDM,2022-05-20,1
"Traditional: Kazimierz (Arr. by Jerzy Bawol, Nigel Kennedy, Tomasz Kukurba and Tomasz Lato)",Traditional,2003-06-02,1
Trace of Grace,Alim Qasimov,2017,1
You in the Rain,Sherwood Roberts,2020-12-25,1
You'll Miss Us One Day,Ben Lukas Boysen,2013,1
Zendegi Ba Tou,Moein,2007-11-05,1
Zingarella,Enrico Musiani,2006,1
a leap of sleep,alhivi,2023-01-13,1
blissful moments,yawn,2022-05-13,1
charkhesh e pooch,Kiosk,2008-01-01,1
Clocks,Coldplay,2002-08-08,1
cornfield chase (theme from interstellar) - piano version,Sjors Weijermars,2022-02-18,1
The Swan,Camille Saint-Saëns,2002-01-01,1
The Stars We Follow,Federico Albanese,2019-05-03,1
enter sleep,Soiboi,2022-08-12,1
golden hour - Piano Version,Peaceful Noise,2022-09-01,1
The Perfect Two,Lílian Pinto,2022-12-16,1
The One I Love - Remastered 2012,R.E.M.,1987-09-01,1
In the Shadows,Foreign Air,2016-09-23,1
The Nearness Of You - 2020 Mix,Frank Sinatra,2023-03-16,1
Ylang Ylang - Slowed,fam0uz,2022-12-24,1
